"gene","padj_MLH1","log2FoldChange_MLH1","padj_MSH2","log2FoldChange_MSH2","Result_KOvsHA"
"TSPAN6",1.17424781085983e-08,-0.728780012511104,0.505060530764632,0.16510549224839,"DE (down) in MLH1"
"TNMD",NA,-2.03977528779318,NA,2.50642614291053,"Not DE"
"DPM1",0.0332084981754048,-0.215682784979238,0.994116180364738,-0.00305533040387333,"DE (down) in MLH1"
"SCYL3",0.995336578580919,0.00190288100332473,0.617712250080276,-0.177226943127031,"Not DE"
"FIRRM",0.00073837078546204,0.394939779931178,0.868587573651714,0.0595310750273885,"DE (up) in MLH1"
"FGR",NA,NA,NA,0.437669205233408,"Not DE"
"CFH",0.552625922954066,0.131248769472287,0.821601718217784,0.080486887340516,"Not DE"
"FUCA2",3.45129440852729e-16,0.620090954920388,0.534396862571062,-0.111789417350842,"DE (up) in MLH1"
"GCLC",3.45670679073884e-06,0.780394029438367,0.99491389080802,0.00451085982030019,"DE (up) in MLH1"
"NFYA",1.17698556801366e-11,-0.615647758263244,0.0131059624295938,-0.353392074243571,"DE (down) in both"
"STPG1",0.00902586102363855,-0.400795402600613,0.353800085656887,-0.199718015461629,"DE (down) in MLH1"
"NIPAL3",1.77546400384192e-15,-0.598114403969007,0.197876159206658,-0.154682637119389,"DE (down) in MLH1"
"LAS1L",0.103136564335477,-0.183652810326935,0.972976894712451,0.0135950356791657,"Not DE"
"ENPP4",2.10330028721422e-12,0.673968287290522,0.799404129739657,-0.0776349239718029,"DE (up) in MLH1"
"SEMA3F",0.0162751246176826,0.663535430661992,3.8607905152882e-05,1.1256654168475,"DE (up) in both"
"CFTR",NA,-2.62641370384114,NA,3.70582605208457,"Not DE"
"ANKIB1",0.502565669051735,-0.133338633177974,0.892923871319629,-0.04043859684358,"Not DE"
"CYP51A1",0.0152322768577731,0.196978288767846,0.00398540976822226,0.318671089673183,"DE (up) in both"
"KRIT1",0.220892096442021,-0.290370723039339,0.21338795492533,-0.258890051943504,"Not DE"
"RAD52",0.768528391242767,-0.108417458334189,0.893230754884448,-0.0733836611110227,"Not DE"
"MYH16",0.522647818128769,-1.84854973894459,NA,-0.85955295250573,"Not DE"
"BAD",0.167770286030674,0.281551306729951,0.871362418536329,-0.0643763081040624,"Not DE"
"LAP3",1.43227947044463e-11,0.583531797360762,0.934992273782421,0.0262295368948302,"DE (up) in MLH1"
